round, size, pvdup, meanpv, rpsneigh, sonneig, completeness, messages
315, 200, 0, 5.0, 5, 5, 98, 1000
316, 200, 0, 5.0, 5, 5, 98, 1000
317, 200, 0, 5.0, 5, 5, 98, 1000
318, 200, 0, 5.0, 5, 5, 98, 1000
319, 200, 0, 5.0, 5, 5, 98, 1000
320, 200, 0, 5.0, 5, 5, 98, 1000
321, 200, 0, 5.0, 5, 5, 98, 1000
322, 200, 0, 5.0, 5, 5, 98, 1000
323, 200, 0, 5.0, 5, 5, 98, 1000
324, 200, 0, 5.0, 5, 5, 98, 1000
325, 200, 0, 5.0, 5, 5, 98, 1000
326, 200, 0, 5.0, 5, 5, 98, 1000
327, 200, 0, 5.0, 5, 5, 98, 1000
328, 200, 0, 5.0, 5, 5, 98, 1000
329, 200, 0, 5.0, 5, 5, 98, 1000
330, 200, 0, 5.0, 5, 5, 98, 1000
331, 200, 0, 5.0, 5, 5, 98, 1000
332, 200, 0, 5.0, 5, 5, 98, 1000
333, 200, 0, 5.0, 5, 5, 98, 1010
334, 200, 0, 5.0, 5, 5, 97, 990
335, 200, 0, 5.0, 5, 5, 98, 1000
336, 200, 0, 5.0, 5, 5, 98, 1000
337, 200, 0, 5.0, 5, 5, 98, 1000
338, 200, 0, 5.0, 5, 5, 98, 1000
339, 200, 0, 5.0, 5, 5, 98, 1000
340, 200, 0, 5.0, 5, 5, 98, 1000
341, 200, 0, 5.0, 5, 5, 98, 1000
342, 200, 0, 5.0, 5, 5, 98, 1000
343, 200, 0, 5.0, 5, 5, 98, 1000
344, 200, 0, 5.0, 5, 5, 98, 1000
345, 200, 0, 5.0, 5, 5, 98, 1000
346, 200, 0, 5.0, 5, 5, 98, 1010
347, 200, 0, 5.0, 5, 5, 97, 990
348, 200, 0, 5.0, 5, 5, 98, 1010
349, 200, 0, 5.0, 5, 5, 97, 990
350, 200, 0, 5.0, 5, 5, 98, 1000
351, 200, 0, 5.0, 5, 5, 98, 1000
352, 200, 0, 5.0, 5, 5, 98, 1010
353, 200, 0, 5.0, 5, 5, 97, 990
354, 200, 0, 5.0, 5, 5, 98, 1000
355, 200, 0, 5.0, 5, 5, 98, 1000
356, 200, 0, 5.0, 5, 5, 98, 1000
357, 200, 0, 5.0, 5, 5, 98, 1000
358, 200, 0, 5.0, 5, 5, 98, 1000
359, 200, 0, 5.0, 5, 5, 98, 1000
360, 200, 0, 5.0, 5, 5, 98, 1000
361, 200, 0, 5.0, 5, 5, 98, 1000
362, 200, 0, 5.0, 5, 5, 98, 1010
